lat,lon,corrected_best_combined_lcow_usd_m3,corrected_hydrogel_thickness_mm,corrected_vapor_gap_mm,corrected_fin_area_ratio,original_best_combined_lcow_usd_m3,original_design_corrected_lcow_usd_m3,regret_frac,design_changed
-39.0,177.0,7.308428964664143,2.2928387319819628,59.069420434095065,12.0,11.94725184038479,7.324887521351286,0.0022519965325952973,True
-36.0,-72.0,7.176924245896612,2.5953702913678525,58.158293692142486,11.129749742933125,11.83876195159832,7.205873466839226,0.0040336528505461045,True
-36.0,-69.0,8.412029477031195,2.462648037724331,60.0,12.0,13.862377510333646,8.412029477031195,0.0,False
-36.0,-66.0,7.4380850136293235,2.7256601744902094,60.0,12.0,12.288230193559535,7.442906913032558,0.0006482716175465586,True
-36.0,-63.0,6.912647720790402,2.5282029200688068,60.0,12.0,11.382635247241039,6.966295543556515,0.007760821169110383,True
-36.0,-60.0,6.803319621198852,2.36597120044068,59.99999998662385,11.999999950763254,11.157032029563881,6.839422445020545,0.005306648199975541,True
-36.0,141.0,7.105021659343434,2.4332060622951897,60.0,12.0,11.654354005295339,7.187311970206669,0.01158199296338802,True
-36.0,144.0,7.226098715288786,2.470753968084718,60.0,12.0,11.874664606564567,7.241441574699706,0.0021232562708363946,True
-36.0,147.0,7.310097638182381,2.4391128271986946,60.0,12.0,12.002949576665996,7.3260000319404375,0.0021754010062731474,True
-36.0,150.0,6.590751438632276,2.2538149326897505,59.06942039791291,12.0,10.775559245591777,6.61380936861858,0.0034985282332371873,True
-36.0,174.0,6.634106000435491,2.2234510837185875,59.06942029433868,12.0,10.838177894412219,6.657988387933244,0.0035999405942843932,True
-33.0,-69.0,8.125077746001063,2.6923164470929155,60.0,12.0,13.417674545238274,8.134095140083428,0.0011098224982281709,True
-33.0,-66.0,6.380765195615421,2.82586500588706,60.0,12.0,10.590549216820643,6.398028456762902,0.00270551581483421,True
-33.0,-63.0,6.245537068694161,2.83345376321707,56.2686843944975,11.416180024925605,10.279787766765107,6.284124424059327,0.00617838865428965,True
3.0,-57.0,4.04575693451348,2.543502391715972,59.99999718677299,11.999997538075249,6.668656873024258,4.062482831167065,0.00413418228636037,True
