lat,lon,hydrogel_thickness_mm,vapor_gap_mm,fin_area_ratio,insulation_gap_mm,tilt_deg,salt,salt_loading,case,warmup_method,resolution,best_combined_lcow_usd_m3,n_evals,stopped_reason,wall_time_s,improvement_vs_baseline_frac,flagged_as_surrogate_artifact,max_neighbor_improvement_frac,cv_rmse,standardized_residual_mean,standardized_residual_std,msll_gp_minus_trivial,n_hyperparameter_warnings,n_de_calls,frac_de_hit_maxiter,frac_de_not_success
6.0,-3.0,1.4463584590327083,59.06587341332302,9.970163871494666,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.822354,33,stalled,424.2,0.15079959296232912,False,0.007055,6.038018115342338,6.098689017523789,32.41959564999072,541.1724830912347,3,9,0.0,0.0
6.0,0.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,6.750963,33,stalled,431.9,0.1274979018698791,False,-0.003951,7.2770729293405525,10.162564210475658,63.52200405792293,2066.3349476971707,4,9,0.0,0.0
6.0,6.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.072414,33,stalled,475.7,0.14620719371438431,False,0.006440,1.155029242927583,0.1429809883126128,3.64625386884352,3.6853279743682466,4,9,0.0,0.0
6.0,9.0,1.9958837579484532,52.616168780086944,11.414163059164329,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,7.470855,33,stalled,488.1,0.1225010522096471,False,-0.003879,2.44703045218083,1.2416251529391273,12.885603724098337,80.8935327180692,4,9,0.0,0.0
6.0,12.0,2.290286891776774,60.0,12.0,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.075532,33,stalled,512.1,0.08101231729872523,False,-0.001617,0.7677317968895293,0.7827393087852497,8.583466316305675,33.70365535913371,3,9,0.0,0.0
6.0,15.0,2.1689689687674147,59.99999991121367,11.999999922583884,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.509910,36,stalled,669.9,0.0793283480887287,False,-0.000449,0.11109521226927957,0.8544781549159615,3.787061967668036,2.713625600165113,4,12,0.0,0.0
6.0,18.0,2.358994633602447,57.86560795409727,11.999999876348697,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.242770,39,stalled,825.8,0.06755662690028501,False,-0.001278,0.5976523877609721,0.3509446766179487,6.07062565513995,14.766708673049973,3,15,0.0,0.0
6.0,21.0,2.381963244721779,59.99999981765664,11.999999833460903,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,8.211714,36,stalled,689.5,0.05909175063230789,False,-0.000127,0.2629261488970244,0.035183575772494,4.365963796421608,5.160625104671183,3,12,0.0,0.0
6.0,24.0,2.4475580967157082,59.999999912398515,11.999999970117115,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.141614,42,stalled,1000.3,0.06649580137099873,False,-0.001427,0.2543831125822037,0.4153097344646621,2.016395575951292,-2.206641554937294,3,18,0.0,0.0
6.0,27.0,2.464156029998254,59.999999981275515,11.999999957145082,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.173361,36,stalled,673.4,0.062125717612453515,False,-0.000478,0.14590318032821697,0.31784837435742913,1.4502853898714545,-3.611212759754606,4,12,0.0,0.0
6.0,30.0,2.695125246853288,59.651562175614984,11.999999981779139,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.212745,36,stalled,681.3,0.050398452518300586,False,-0.000604,0.1709112167975023,0.3088106378594236,1.2479774780089723,-3.919209162783783,4,12,0.0,0.0
6.0,33.0,3.1456836925820832,59.999999867038966,11.999999936273685,5.0,30.0,LiCl,4.0,case2,aitken-gpu-fixed-round,monthly,9.402341,36,stalled,696.1,0.03434745969713381,False,-0.001120,0.19040005430330803,0.1285307013877461,1.0448422910360526,-3.8548409226025893,4,12,0.0,0.0
