lat,lon,standard_best_combined_lcow_usd_m3,standard_hydrogel_thickness_mm,simplified_best_combined_lcow_usd_m3,simplified_hydrogel_thickness_mm,lcow_reduction_frac,optimal_design_changed
18.0,78.0,5.3265691282110526,2.7577025360018053,5.289499745627559,2.7577025360018053,0.006959335679539647,False
18.0,81.0,4.742005654145534,2.4591647421969505,4.711951351931023,2.4591647421969505,0.00633788831277269,False
18.0,96.0,5.031654138239236,2.3655439698395058,5.00077223726903,2.3655439698395058,0.006137524583717248,False
18.0,99.0,4.5576352715281905,2.2035769586147103,4.531271801924001,2.2035769586147103,0.005784462343637574,False
18.0,102.0,4.735317566872937,2.2481406166513214,4.707462399389928,2.2481406166513214,0.005882428599483381,False
18.0,105.0,4.580967650230787,2.103705107784244,4.555485593239035,2.103705107784244,0.005562592652333665,False
21.0,-105.0,4.231916149226238,2.1878281543293765,4.207583945730921,2.1878281543293765,0.00574968941664067,False
21.0,-102.0,5.870933568306931,2.9102177977743744,5.828269867897498,2.9102177977743744,0.00726693632504125,False
21.0,-99.0,4.41880103492627,2.3661144229544453,4.391675104206768,2.3661144229544453,0.006138753590645615,False
21.0,-90.0,4.224999117126066,2.639211455806078,4.1966248559441155,2.639211455806078,0.006715802866546151,False
21.0,-87.0,4.140036211956915,2.2035769586147103,4.116088328387555,2.2035769586147103,0.005784462343637522,False
21.0,-78.0,4.115635250979424,2.5202510361486885,4.089018660753314,2.5202510361486885,0.006467188806339503,False
