lat,lon,elev_m
48.0,-84.0,437.0
48.0,-81.0,441.0
48.0,-78.0,294.0
48.0,-75.0,598.0
48.0,-72.0,529.0
48.0,-69.0,198.0
48.0,-66.0,0.0
48.0,-57.0,280.0
48.0,-54.0,140.0
48.0,-3.0,88.0
48.0,0.0,113.0
48.0,3.0,169.0
48.0,6.0,345.0
48.0,9.0,746.0
48.0,12.0,485.0
48.0,15.0,402.0
48.0,18.0,110.0
48.0,21.0,104.0
48.0,24.0,653.0
48.0,27.0,164.0
48.0,30.0,188.0
48.0,33.0,111.0
48.0,36.0,125.0
48.0,39.0,106.0
48.0,42.0,75.0
48.0,45.0,11.0
48.0,48.0,-7.0
48.0,51.0,-15.0
48.0,54.0,37.0
48.0,57.0,225.0
48.0,60.0,195.0
48.0,63.0,53.0
48.0,66.0,378.0
48.0,69.0,346.0
48.0,72.0,699.0
48.0,75.0,764.0
48.0,78.0,668.0
48.0,81.0,837.0
48.0,84.0,390.0
48.0,87.0,796.0
48.0,90.0,2953.0
48.0,93.0,1211.0
48.0,96.0,1887.0
48.0,99.0,2643.0
48.0,102.0,1733.0
48.0,105.0,1092.0
48.0,108.0,1809.0
48.0,111.0,1327.0
48.0,114.0,778.0
48.0,117.0,591.0
48.0,120.0,891.0
48.0,123.0,271.0
48.0,126.0,234.0
48.0,129.0,281.0
48.0,132.0,68.0
48.0,135.0,58.0
48.0,138.0,349.0
51.0,-126.0,1510.0
51.0,-123.0,1576.0
51.0,-120.0,1574.0
51.0,-117.0,1816.0
51.0,-114.0,1041.0
51.0,-111.0,728.0
51.0,-108.0,606.0
51.0,-105.0,535.0
51.0,-102.0,537.0
51.0,-99.0,263.0
51.0,-96.0,268.0
51.0,-93.0,387.0
51.0,-90.0,381.0
51.0,-87.0,282.0
51.0,-84.0,102.0
51.0,-81.0,29.0
51.0,-78.0,204.0
51.0,-75.0,377.0
51.0,-72.0,589.0
51.0,-69.0,590.0
51.0,-66.0,632.0
51.0,-63.0,548.0
51.0,-60.0,249.0
51.0,-57.0,0.0
51.0,-3.0,25.0
51.0,0.0,30.0
-30.0,144.0,143.0
-30.0,147.0,151.0
-30.0,150.0,329.0
-30.0,153.0,2.0
-27.0,-69.0,4845.0
-27.0,-66.0,2385.0
-27.0,-63.0,125.0
-27.0,-60.0,59.0
-27.0,-57.0,66.0
-27.0,-54.0,395.0
-27.0,-51.0,668.0
-27.0,18.0,716.0
-27.0,21.0,901.0
-27.0,24.0,1410.0
-27.0,27.0,1379.0
-27.0,30.0,1276.0
-27.0,114.0,0.0
-27.0,117.0,464.0
-27.0,120.0,435.0
-27.0,123.0,464.0
-27.0,126.0,413.0
-27.0,129.0,321.0
-27.0,132.0,409.0
-27.0,135.0,120.0
-27.0,138.0,18.0
-27.0,141.0,86.0
-27.0,144.0,158.0
-27.0,147.0,186.0
-27.0,150.0,269.0
-27.0,153.0,59.0
