lat,lon,mean_rh_frac,mean_t_amb_c,mean_solar_w_m2,salt,hydrogel_thickness_mm,eps_abs,tau_glass,eps_abs_ir,eps_glass_ir,fin_area_ratio,vapor_gap_mm,warmup_method,resolution,mean_yield_kg_m2,mean_eta_thermal,n_periods
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.477056,0.094947,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.509250,0.116039,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.523879,0.126269,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.525416,0.133622,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.318184,0.070178,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.479180,0.095375,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.511441,0.116571,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.526078,0.126846,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.527468,0.134171,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.319073,0.070396,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.480445,0.095629,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.512763,0.116908,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.526142,0.125825,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,7.75,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.528682,0.134488,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.419164,0.087146,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.488149,0.112654,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.475011,0.101355,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.479283,0.109047,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.492925,0.118452,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.365268,0.073502,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.471931,0.101687,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.485267,0.103575,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.523905,0.134286,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.502824,0.120936,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.381498,0.071146,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.497991,0.113860,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.489226,0.104435,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.528079,0.135428,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.514681,0.131857,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.383391,0.071485,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.499890,0.114302,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.519478,0.126599,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.530282,0.136027,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.508709,0.122443,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.384531,0.071688,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.501557,0.114860,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.520751,0.126905,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.523709,0.127453,12
-54.0,-72.0,0.896389,4.6082,166.80,LiCl,10.0,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.506101,0.120528,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.644801,0.133255,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.647459,0.133888,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.645983,0.132759,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.643866,0.131592,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.641848,0.130583,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.658090,0.136537,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.660201,0.137068,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.658114,0.135773,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.655549,0.134457,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.653235,0.133360,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.663254,0.137838,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.665126,0.138318,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.662813,0.136971,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.660073,0.135594,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,7.55,60.0,aitken-gpu-fixed-round,monthly,0.657640,0.134457,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,9.825,20.0,aitken-gpu-fixed-round,monthly,0.665994,0.138538,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,9.825,30.0,aitken-gpu-fixed-round,monthly,0.667731,0.138985,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,9.825,40.0,aitken-gpu-fixed-round,monthly,0.665291,0.137602,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,9.825,50.0,aitken-gpu-fixed-round,monthly,0.662471,0.136207,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,9.825,60.0,aitken-gpu-fixed-round,monthly,0.659969,0.135040,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,12.0,20.0,aitken-gpu-fixed-round,monthly,0.667617,0.138945,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,12.0,30.0,aitken-gpu-fixed-round,monthly,0.669303,0.139404,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,12.0,40.0,aitken-gpu-fixed-round,monthly,0.666772,0.137984,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,12.0,50.0,aitken-gpu-fixed-round,monthly,0.663888,0.136559,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,1.0,0.95,0.9,,,12.0,60.0,aitken-gpu-fixed-round,monthly,0.661357,0.135390,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,3.0,20.0,aitken-gpu-fixed-round,monthly,0.727940,0.141733,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,3.0,30.0,aitken-gpu-fixed-round,monthly,0.730937,0.142683,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,3.0,40.0,aitken-gpu-fixed-round,monthly,0.728611,0.141940,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,3.0,50.0,aitken-gpu-fixed-round,monthly,0.724791,0.140521,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,3.0,60.0,aitken-gpu-fixed-round,monthly,0.721259,0.139251,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,5.275,20.0,aitken-gpu-fixed-round,monthly,0.745047,0.145350,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,5.275,30.0,aitken-gpu-fixed-round,monthly,0.747926,0.146376,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,5.275,40.0,aitken-gpu-fixed-round,monthly,0.744699,0.145444,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,5.275,50.0,aitken-gpu-fixed-round,monthly,0.740130,0.143837,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,5.275,60.0,aitken-gpu-fixed-round,monthly,0.736138,0.142443,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,7.55,20.0,aitken-gpu-fixed-round,monthly,0.751577,0.146765,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,7.55,30.0,aitken-gpu-fixed-round,monthly,0.754376,0.147819,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,7.55,40.0,aitken-gpu-fixed-round,monthly,0.750804,0.146811,12
-54.0,-69.0,0.777239,5.8087,225.37,LiCl,3.25,0.95,0.9,,,7.55,50.0,aitken-gpu-fixed-round,monthly,0.746061,0.145151,12
