lat,lon,hydrogel_thickness_mm_standard,lcow_standard_usd_m3,hydrogel_thickness_mm_simplified,lcow_simplified_usd_m3,lcow_reduction_frac,optimal_thickness_changed
-9.0,39.0,3.25,4.2464623074919325,3.25,4.212790062254185,0.007929481719015955,False
-9.0,117.0,3.25,3.678941894431541,3.25,3.6497697919343235,0.007929481719016099,False
-9.0,126.0,3.25,3.8828491781266155,3.25,3.8520601965509638,0.0079294817190161,False
-9.0,141.0,3.25,4.3943551528966704,3.25,4.359510194044912,0.007929481719016142,False
-9.0,147.0,3.25,4.398661824881576,3.25,4.363782716353044,0.007929481719016007,False
-6.0,-81.0,3.25,3.8106513526819144,3.25,3.780434862443279,0.007929481719016113,False
-6.0,-78.0,3.25,4.277740631038737,3.25,4.243820364906224,0.007929481719015976,False
-6.0,-75.0,3.25,4.129069959720979,3.25,4.096328574958832,0.007929481719016156,False
-6.0,-72.0,3.25,4.128053634470488,3.25,4.0953203086408365,0.007929481719016076,False
-6.0,-69.0,3.25,4.162463284934674,3.25,4.129457108410709,0.007929481719015967,False
-6.0,-66.0,3.25,4.161542467311902,3.25,4.1285435923944425,0.007929481719016238,False
-6.0,-63.0,3.25,4.155606045378675,3.25,4.122654243210412,0.007929481719016127,False
-6.0,-60.0,3.25,4.216000896472284,3.25,4.182570194436352,0.007929481719016125,False
-6.0,-57.0,3.25,4.387163224706786,3.25,4.352375294118133,0.00792948171901627,False
-6.0,-54.0,3.25,4.420173678222785,3.25,4.385123991846441,0.007929481719016184,False
-6.0,-51.0,3.25,4.396504178500314,3.25,4.361642178989318,0.00792948171901607,False
-6.0,-48.0,3.25,4.658235745171982,3.25,4.621298349987774,0.00792948171901598,False
-6.0,-45.0,3.25,4.6441428420864215,3.25,4.607317196319598,0.007929481719016036,False
-6.0,-42.0,3.25,4.913141484601926,3.25,4.874182819016835,0.007929481719016201,False
-6.0,-39.0,3.25,4.274743136132241,3.25,4.240846638580791,0.007929481719016107,False
-6.0,-36.0,3.25,4.378587691193477,3.25,4.34386776014105,0.007929481719015988,False
-6.0,15.0,3.25,4.455543007673035,3.25,4.420212860845401,0.007929481719016179,False
-6.0,18.0,3.25,4.646085029133168,3.25,4.609243982829662,0.007929481719016095,False
-6.0,21.0,3.25,4.670585392694067,3.25,4.633550071205596,0.007929481719016026,False
